date,distance(A-B),distance(A-C),distance(A-D),distance(B-C),distance(B-D),distance(C-D),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2025-06-14 00:00:00+00:00,1000.7007408195105,0,0,0,0,0,58.08391736786666,58.205161072433896,6978260.601737531,97.75322471841966,0.0009137776870313051,180.001862911866,158.6637793224708,-27.176145241013202
2025-06-15 00:00:00+00:00,999.1821465783539,0,0,0,0,0,58.05116703622714,58.17125881180171,6978259.414043277,97.75322674219846,0.0009803790572194752,180.9810873040406,157.01241175165978,-70.78500544865702
2025-06-16 00:00:00+00:00,999.5449242075424,0,0,0,0,0,58.02501829786374,58.143980829966694,6978258.205997563,97.75322877228407,0.0010461710129600257,181.9603121813521,155.3612646164228,-114.39271009422117
2025-06-17 00:00:00+00:00,1000.0088792856418,0,0,0,0,0,58.00547590815183,58.12333243981625,6978257.018664681,97.75323081006292,0.0011110969182182278,182.93953751657727,153.7100602666953,-157.99898096830273
2025-06-18 00:00:00+00:00,998.8057290166329,0,0,0,0,0,57.9925423321319,58.10931673144845,6978255.842703238,97.75323285828992,0.001175102438765202,183.91876329744804,-207.941216509439,158.3961808393649
2025-06-19 00:00:00+00:00,998.2787693400044,0,0,0,0,0,57.986217466502616,58.10193429285671,6978254.678099453,97.75323491033807,0.001238135734599808,184.89798949549396,-209.5921912074645,114.79238581193765
2025-06-20 00:00:00+00:00,1000.316635803148,0,0,0,0,0,57.98649826142665,58.101182876202095,6978253.51584009,97.75323697160466,0.0013001443779105239,185.87721609600624,-211.24322642717797,71.18999106839512
2025-06-21 00:00:00+00:00,1002.1778422298437,0,0,0,0,0,57.9933783565569,58.10705699304604,6978252.355692593,97.75323903378577,0.0013610773319399953,186.85644308664044,147.10576379751677,27.588901600841233
2025-06-22 00:00:00+00:00,1001.2980336821057,0,0,0,0,0,58.00684766149732,58.11954755548745,6978251.196690537,97.75324109802364,0.001420883930292334,187.83567046425213,145.45481202648486,-16.01091207308616
2025-06-23 00:00:00+00:00,999.7748445179488,0,0,0,0,0,58.026892054758314,58.13864153328527,6978250.0555357495,97.75324315720813,0.0014795171878793627,188.81489820702245,143.80391916726944,-59.609465805138214
2025-06-24 00:00:00+00:00,999.8887627142534,0,0,0,0,0,58.05349317918845,58.16432177930448,6978248.899921415,97.75324521424764,0.0015369238507490913,189.7941263175638,142.15318430712207,-103.2068523036203
2025-06-25 00:00:00+00:00,999.8943782972349,0,0,0,0,0,58.086628532939216,58.19656706675204,6978247.774312128,97.75324726922518,0.0015930590633420822,190.77335477212037,140.50238210791477,-146.8028637291684
2025-06-26 00:00:00+00:00,998.3883171997154,0,0,0,0,0,58.12627177650661,58.23535237601617,6978246.642575943,97.75324932380751,0.0016478728764595474,191.752583560016,-221.1483466898528,169.60235319034894
2025-06-27 00:00:00+00:00,997.9671312117732,0,0,0,0,0,58.17239327247562,58.28064938906037,6978245.528012295,97.75325135933049,0.0017013239399091247,192.73181268051766,-222.79904753127965,126.0088282168065
2025-06-28 00:00:00+00:00,1000.3382605368877,0,0,0,0,0,58.2249606284651,58.332427048502645,6978244.401057127,97.75325338821864,0.001753366188505896,193.71104212978506,-224.4496557370727,82.41650520041466
2025-06-29 00:00:00+00:00,1002.4967467285883,0,0,0,0,0,58.28393927559418,58.390652061413284,6978243.279536295,97.75325540584235,0.0018039536566643204,194.69027190313346,133.89976030501109,38.82544916377772
2025-06-30 00:00:00+00:00,1001.854852585254,0,0,0,0,0,58.349292837495256,58.45528930236119,6978242.162451266,97.7532574100148,0.0018530473602799973,195.66950199895746,132.24925139743732,-4.764396606557405
2025-07-01 00:00:00+00:00,1000.478894656624,0,0,0,0,0,58.42098335656251,58.52630201902359,6978241.072584804,97.7532594018857,0.001900606350303627,196.64873241895373,130.59873978884102,-48.35297264563139
2025-07-02 00:00:00+00:00,1000.4506758375649,0,0,0,0,0,58.49897139216005,58.603651938927825,6978240.121764515,97.75326139458696,0.001946588406260742,197.62796312013725,128.9482078948554,-91.94035213786078
2025-07-03 00:00:00+00:00,1000.011845650009,0,0,0,0,0,58.58321607097684,58.687299341648995,6978239.176870011,97.75326336754982,0.001990959984520606,198.60719407879895,127.29778688916352,-135.5267512705545
2025-07-04 00:00:00+00:00,998.1205247624497,0,0,0,0,0,58.673675024506906,58.77720298898833,6978238.231527605,97.75326532034713,0.0020336793081455373,199.5864252936075,125.6473540162016,-179.11205341938157
2025-07-05 00:00:00+00:00,997.6503130347385,0,0,0,0,0,58.770304410732905,58.87332016370241,6978237.2973825,97.75326725229404,0.002074712209489526,200.56565677128222,-236.00304149342227,137.30368517623418
2025-07-06 00:00:00+00:00,1000.2015687766714,0,0,0,0,0,58.87305894859684,58.97560669780945,6978236.367735906,97.75326915622402,0.0021140265719939155,201.5448885219989,-237.65333153877467,93.72039152521882
2025-07-07 00:00:00+00:00,1002.600671240176,0,0,0,0,0,58.98189196313556,59.08401703399717,6978235.441844677,97.75327103779951,0.002151587573417231,202.52412055259313,120.69637121613144,50.13817257666129
2025-07-08 00:00:00+00:00,1002.2616374653198,0,0,0,0,0,59.0967555042782,59.19850432471496,6978234.517790465,97.75327288950511,0.0021873640521081735,203.50335286999626,119.04615610016032,6.55693485406036
2025-07-09 00:00:00+00:00,1001.1710596948235,0,0,0,0,0,59.217600421197226,59.319020530658086,6978233.605642119,97.7532747152412,0.0022213251228151813,204.4825854856926,117.39595158193258,-37.02325871224779
2025-07-10 00:00:00+00:00,1001.1411689794674,0,0,0,0,0,59.34437648639485,59.445516521127395,6978232.681226581,97.75327650750508,0.0022534430269268886,205.46181842030302,115.74579282816644,-80.6024404882012
2025-07-11 00:00:00+00:00,1000.3445299225396,0,0,0,0,0,59.477032420179526,59.57794212154117,6978231.758287352,97.75327826852488,0.0022836901933663938,206.441051682562,114.09570303893035,-124.1806280241372
2025-07-12 00:00:00+00:00,998.0541781399608,0,0,0,0,0,59.61551587074685,59.716246091910385,6978230.835440784,97.75327999335663,0.0023120444671599605,207.42028529656275,112.44567152657203,-167.75781427445978
2025-07-13 00:00:00+00:00,997.4187161937231,0,0,0,0,0,59.75977326391468,59.86037599234655,6978229.9111933755,97.75328168566531,0.002338477101537076,208.39951927262993,-249.20438865272016,148.66608715939742
2025-07-14 00:00:00+00:00,999.9919777358247,0,0,0,0,0,59.90974955227247,60.010277941933644,6978228.990842166,97.75328334043883,0.0023629690886991573,209.37875363819788,-250.85441596347246,105.09101690256287
2025-07-15 00:00:00+00:00,1002.5234243027573,0,0,0,0,0,60.0653878298299,60.16589624682306,6978228.067151684,97.75328495749503,0.0023855008195320868,210.35798841414328,107.49562238396045,61.516941826150486
2025-07-16 00:00:00+00:00,1002.4928329357701,0,0,0,0,0,60.22662886920681,60.32717296270302,6978227.143241883,97.75328653496356,0.002406052187272274,211.33722361992218,105.84568874573742,17.94390061691988
2025-07-17 00:00:00+00:00,1001.7969628571449,0,0,0,0,0,60.3934105920763,60.49404738087338,6978226.224885595,97.7532880733162,0.0024246053908319578,212.31645927729966,104.19576049570335,-25.62808872136433
2025-07-18 00:00:00+00:00,1001.920187214363,0,0,0,0,0,60.56566753003312,60.666455505746534,6978225.295369241,97.75328957075948,0.0024411445048434463,213.29569541314245,102.54584272334945,-69.19902482667712
2025-07-19 00:00:00+00:00,1000.898253728464,0,0,0,0,0,60.74333030266339,60.844329543223004,6978224.3534457525,97.75329102312635,0.0024556568021046345,214.27493206211395,100.8959868114712,-112.76894389209153
