date,Distance
2025-07-20 00:00:00+00:00,1695.7978550189107
2025-07-21 00:00:00+00:00,1723.7645373152623
2025-07-22 00:00:00+00:00,1752.3194160551923
2025-07-23 00:00:00+00:00,1780.2918979764681
2025-07-24 00:00:00+00:00,1808.6948029511123
2025-07-25 00:00:00+00:00,1838.6737743704164
2025-07-26 00:00:00+00:00,1869.8804421061757
2025-07-27 00:00:00+00:00,1900.1790723194736
2025-07-28 00:00:00+00:00,1928.2341433072133
2025-07-29 00:00:00+00:00,1956.0596861369277
2025-07-30 00:00:00+00:00,1985.449192311118
2025-07-31 00:00:00+00:00,2014.9835478000489
2025-08-01 00:00:00+00:00,2043.7816455994744
2025-08-02 00:00:00+00:00,2074.4111403007714
2025-08-03 00:00:00+00:00,2107.808019757252
2025-08-04 00:00:00+00:00,2140.5897361583793
2025-08-05 00:00:00+00:00,2170.3874149378144
2025-08-06 00:00:00+00:00,2198.3076966202148
2025-08-07 00:00:00+00:00,2226.3116563703993
2025-08-08 00:00:00+00:00,2254.3603804187796
2025-08-09 00:00:00+00:00,2282.2405875074937
2025-08-10 00:00:00+00:00,2311.8047558385597
2025-08-11 00:00:00+00:00,2344.90487838885
2025-08-12 00:00:00+00:00,2379.3012490348583
2025-08-13 00:00:00+00:00,2410.6137871358715
2025-08-14 00:00:00+00:00,2438.664281083976
2025-08-15 00:00:00+00:00,2466.1684865780044
2025-08-16 00:00:00+00:00,2493.0472535122276
2025-08-17 00:00:00+00:00,2519.0130666601312
2025-08-18 00:00:00+00:00,2546.792710224759
2025-08-19 00:00:00+00:00,2579.486516955064
2025-08-20 00:00:00+00:00,2615.266412932826
2025-08-21 00:00:00+00:00,2648.9485716163513
2025-08-22 00:00:00+00:00,2678.6897737961926
2025-08-23 00:00:00+00:00,2707.379861761489
2025-08-24 00:00:00+00:00,2735.2234999462016
2025-08-25 00:00:00+00:00,2760.8891309041423
2025-08-26 00:00:00+00:00,2788.4892687139977
2025-08-27 00:00:00+00:00,2822.265186764047
2025-08-28 00:00:00+00:00,2860.6025227196587
2025-08-29 00:00:00+00:00,2897.862785501309
2025-08-30 00:00:00+00:00,2931.6888209537283
2025-08-31 00:00:00+00:00,2964.0530636674403
2025-09-01 00:00:00+00:00,2994.700037078605
2025-09-02 00:00:00+00:00,3022.305735561509
2025-09-03 00:00:00+00:00,3051.611544509781
2025-09-04 00:00:00+00:00,3087.8235480901817
2025-09-05 00:00:00+00:00,3129.4362020442845
2025-09-06 00:00:00+00:00,3170.3456401745016
2025-09-07 00:00:00+00:00,3208.1477516002005
2025-09-08 00:00:00+00:00,3244.3754953787966
2025-09-09 00:00:00+00:00,3277.630097167411
2025-09-10 00:00:00+00:00,3306.434731331019
2025-09-11 00:00:00+00:00,3336.7005219261027
2025-09-12 00:00:00+00:00,3374.3614630321804
2025-09-13 00:00:00+00:00,3417.4839573162394
2025-09-14 00:00:00+00:00,3459.7233288311254
2025-09-15 00:00:00+00:00,3499.3272264642474
2025-09-16 00:00:00+00:00,3537.2191247458727
2025-09-17 00:00:00+00:00,3570.692902103719
2025-09-18 00:00:00+00:00,3599.1536292561027
2025-09-19 00:00:00+00:00,3629.364234377585
2025-09-20 00:00:00+00:00,3666.8701974897376
2025-09-21 00:00:00+00:00,3708.456643056103
2025-09-22 00:00:00+00:00,3748.769415892235
2025-09-23 00:00:00+00:00,3787.2178938744028
2025-09-24 00:00:00+00:00,3823.9751917924686
2025-09-25 00:00:00+00:00,3855.1416290705824
2025-09-26 00:00:00+00:00,3881.495301166948
2025-09-27 00:00:00+00:00,3911.1067109092573
2025-09-28 00:00:00+00:00,3947.684128869581
2025-09-29 00:00:00+00:00,3986.767465450991
2025-09-30 00:00:00+00:00,4024.8352934858103
2025-10-01 00:00:00+00:00,4063.2011256545784
2025-10-02 00:00:00+00:00,4099.909266157269
2025-10-03 00:00:00+00:00,4129.876810330731
2025-10-04 00:00:00+00:00,4155.915359326268
2025-10-05 00:00:00+00:00,4186.43374575457
2025-10-06 00:00:00+00:00,4222.596166633858
2025-10-07 00:00:00+00:00,4259.614753949506
2025-10-08 00:00:00+00:00,4296.530698418055
2025-10-09 00:00:00+00:00,4335.8987450332
2025-10-10 00:00:00+00:00,4373.499969599256
2025-10-11 00:00:00+00:00,4405.05505377872
2025-10-12 00:00:00+00:00,4435.999024289163
2025-10-13 00:00:00+00:00,4472.409279645036
2025-10-14 00:00:00+00:00,4511.7640600992445
2025-10-15 00:00:00+00:00,4550.1589629132495
2025-10-16 00:00:00+00:00,4590.462161979923
2025-10-17 00:00:00+00:00,4632.786671867611
2025-10-18 00:00:00+00:00,4670.8462478075435
2025-10-19 00:00:00+00:00,4703.367566016748
2025-10-20 00:00:00+00:00,4738.018343707436
2025-10-21 00:00:00+00:00,4775.818156850416
