date,distance(Seed-Derived),distance(Seed-Seed2),distance(Seed-Derived2),distance(Derived-Seed2),distance(Derived-Derived2),distance(Seed2-Derived2),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2025-06-01 00:00:00+00:00,1000.3710586128599,0,0,0,0,0,-23.255372595724747,-23.76109155568,6978276.999499996,97.7532,7.165046334023375e-11,46.80215535989237,-1.5875153552896818e-06,1.5875153546721237e-06
2025-06-02 00:00:00+00:00,999.3770071611473,0,0,0,0,0,-23.294829903402803,-23.80016239770186,6978275.721636148,97.75320443968201,7.172533334000196e-05,47.78138037333907,-182.1766547367441,136.89764862788223
2025-06-03 00:00:00+00:00,998.1726035091349,0,0,0,0,0,-23.33559804207913,-23.840563967014592,6978274.471435315,97.75320892480596,0.0001433925179613265,48.76060654176612,-183.82763034109487,93.27107206478678
2025-06-04 00:00:00+00:00,999.2501105679098,0,0,0,0,0,-23.377631011996524,-23.88225088961773,6978273.229857021,97.7532134532869,0.00021494240098532036,49.73983383145238,-185.47862381145333,49.64594578833594
2025-06-05 00:00:00+00:00,1000.590609412441,0,0,0,0,0,-23.420882966457487,-23.92517792168957,6978272.009328434,97.75321802768116,0.00028631340127618666,50.71906220908932,172.8709072329638,6.021712936666894
2025-06-06 00:00:00+00:00,999.6138896279502,0,0,0,0,0,-23.465307824165198,-23.969299563002235,6978270.801283384,97.75322264997133,0.00035744898061546964,51.69829164941257,171.2201167016145,-37.60080516606123
2025-06-07 00:00:00+00:00,998.2099574328702,0,0,0,0,0,-23.510859022345166,-24.014569807958388,6978269.599716419,97.75322731589706,0.0004282901467329122,52.677522126117815,169.56940738174495,-81.222019379063
2025-06-08 00:00:00+00:00,998.8546838681556,0,0,0,0,0,-23.55748943121696,-24.060942038184724,6978268.421335584,97.75323202936805,0.0004987749897775857,53.65675360530637,167.918616714265,-124.84178372671307
2025-06-09 00:00:00+00:00,999.7289984161579,0,0,0,0,0,-23.605151263536097,-24.108368972503815,6978267.249805289,97.75323678539623,0.0005688475862506398,54.63598606259768,166.26784857245426,-168.46021929393376
2025-06-10 00:00:00+00:00,998.6812661325562,0,0,0,0,0,-23.653796050694226,-24.15680261808032,6978266.079287436,97.7532415809786,0.0006384508611160925,55.61521947590566,-195.38285138355775,147.92262311895635
2025-06-11 00:00:00+00:00,997.8458126828551,0,0,0,0,0,-23.70337457035588,-24.206194206954223,6978264.916129748,97.75324641802567,0.0007075263384118795,56.594453822862874,-197.03351762921173,104.30677501305428
2025-06-12 00:00:00+00:00,999.4173803092317,0,0,0,0,0,-23.753836696461352,-24.256494026422505,6978263.768373234,97.75325130048934,0.000776014660480897,57.573689074742525,-198.68421770725854,60.69228821719076
2025-06-13 00:00:00+00:00,1000.9866679451178,0,0,0,0,0,-23.80513112480274,-24.3076511635269,6978262.630658967,97.7532562223723,0.0008438618488895806,58.55292520819276,159.66526372639137,17.078933601037477
2025-06-14 00:00:00+00:00,999.9630414040922,0,0,0,0,0,-23.857205003612876,-24.359613139186056,6978261.492730621,97.75326117933544,0.0009110124424330606,59.53216220755268,158.01470165187953,-26.53306804803452
