date,distance(Seed-Derived),distance(Seed-Seed2),distance(Seed-Derived2),distance(Derived-Seed2),distance(Derived-Derived2),distance(Seed2-Derived2),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2027-11-29 00:00:00+00:00,836.1816947763194,5453.889777802797,5853.561466132167,827.2644972019089,827.2644972019089,827.2644972019089,-19.8283451080933,-20.40600897765875,6977167.677184944,97.75754988042613,0.0022146332050638033,219.37839190212412,115.73883684933767,-49.68736029649721
2027-11-30 00:00:00+00:00,837.1812438754761,7469.564873258371,6900.298621351189,826.9492850648422,826.9492850648422,826.9492850648422,-19.859584694929325,-20.436345445853604,6977166.678871714,97.75755430598602,0.002245303259110173,220.3586896345977,114.08827276299468,-92.0403993195632
2027-12-01 00:00:00+00:00,835.8952954978402,12711.842837295626,12351.128919816894,826.6491162144674,826.6491162144674,826.6491162144674,-19.894922783913316,-20.470803070922955,6977165.67833169,97.75755870412719,0.002274104960173964,221.33898802555814,112.43772482718775,-134.39230196809933
2027-12-02 00:00:00+00:00,832.3980749553656,13535.162145548065,13629.26984245055,826.731098061247,826.731098061247,826.731098061247,-19.934318004358705,-20.50934160071584,6977164.7591859,97.7575630864577,0.0023010174255281113,222.31928706852287,110.78717747547041,-176.74310306812504
2027-12-03 00:00:00+00:00,831.8966891982118,9656.29344311664,10061.346429312183,826.9075088158676,826.9075088158676,826.9075088158676,-19.977727154501217,-20.55191892933731,6977163.840419942,97.75756744128685,0.0023260161113276543,223.29958676170588,-250.86337501440633,140.90715665866097
2027-12-04 00:00:00+00:00,835.1945873596296,6054.540245392202,5964.157774190353,826.5793872237215,826.5793872237215,826.5793872237215,-20.025105254040223,-20.598491156573534,6977162.9324834775,97.75757176502424,0.00234907937060016,224.27988712324694,-252.51388371172322,98.55842410859354
2027-12-05 00:00:00+00:00,836.9078726183297,9914.368452030758,9369.442155547466,825.5674745055131,825.5674745055131,825.5674745055131,-20.076405576268286,-20.64901262139569,6977162.021933222,97.7575760619118,0.002370190636941517,225.2601881655716,105.83554227213045,56.210804269668465
2027-12-06 00:00:00+00:00,835.016427312346,13237.341554446664,12982.56155716595,824.4370993173565,824.4370993173565,824.4370993173565,-20.13157963502623,-20.703435884537846,6977161.11357519,97.75758033077285,0.002389332245457785,226.24048991430263,104.18498759169957,13.864212380779112
2027-12-07 00:00:00+00:00,833.7623531135721,12121.588703250907,12231.637499871971,824.0505004136179,824.0505004136179,824.0505004136179,-20.19057729506083,-20.761711826727637,6977160.2137154145,97.75758456912871,0.0024064871283676972,227.22079238722014,102.53444670701586,-28.481354459962997
2027-12-08 00:00:00+00:00,834.8012533493225,7880.726778069606,8008.07042221199,824.7573363543747,824.7573363543747,824.7573363543747,-20.25334694436283,-20.823789826979517,6977159.325299524,97.7575887763712,0.0024216392884957804,228.2010956014657,100.88389447796965,-70.82588131236265
2027-12-09 00:00:00+00:00,834.0355730014486,7056.849028742691,6502.587796375127,826.0216178079963,826.0216178079963,826.0216178079963,-20.31983582375947,-20.8896180973759,6977158.434390743,97.75759295595962,0.002434778871266186,229.18139957643118,99.23334264641261,-113.16938617425863
2027-12-10 00:00:00+00:00,830.2932590682448,10656.407680252032,10110.141099210026,826.8834780582629,826.8834780582629,826.8834780582629,-20.389990490294974,-20.95914414404869,6977157.5544269495,97.75759710340019,0.0024458939259938937,230.16170433474664,97.58281810683913,-155.51190058402915
2027-12-11 00:00:00+00:00,828.6198321559858,11753.06204835305,11539.018762461856,826.8098338525077,826.8098338525077,826.8098338525077,-20.463757338025097,-21.032315278730092,6977156.673110209,97.75760122241304,0.0024549748043150308,231.14200989987722,-264.0677235104611,162.1466180667419
