date,distance,beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2027-11-23 00:00:00+00:00,1225.9423185210999,76.35668989743755,76.51354482181223,399760074.37345475,97.75331465891789,0.11469169486929519,333.7467162558931,126.25814326308708,-135.47276181162036
2027-11-24 00:00:00+00:00,1224.973168405813,76.19535731813413,76.34813172487668,399760017.20201385,97.7533150933496,0.11705661906995433,334.7265051623267,124.60302257265585,-177.7779796445691
2027-11-25 00:00:00+00:00,1225.363152737578,76.03927634487484,76.18804289712192,399759959.6687853,97.7533155146792,0.11932443456870594,335.70629415742303,-237.05198695456784,139.9178402820976
2027-11-26 00:00:00+00:00,1227.7598147119838,75.88855788739144,76.03338563029372,399759902.68836004,97.75331592581253,0.12149303728596167,336.68608324601814,-238.70697334332718,97.61479149639798
2027-11-27 00:00:00+00:00,1230.4840971707517,75.7433063834732,75.88426105514753,399759845.3867479,97.75331631741473,0.12356091980003366,337.66587243982855,119.63820500349412,55.31272134751587
2027-11-28 00:00:00+00:00,1231.7029389619436,75.60362038568402,75.74076462136043,399759788.43371445,97.75331669588543,0.12552615110385287,338.6456617440923,117.9833919044839,13.011785005648106
2027-11-29 00:00:00+00:00,1231.6073056041535,75.46959304775464,75.60298660811907,399759731.99051046,97.75331705167503,0.12738698165844237,339.6254511758233,116.3286642414574,-29.2880950518391
2027-11-30 00:00:00+00:00,1231.1106801520473,75.34131262250243,75.471012555512,399759675.7452058,97.75331738610636,0.12914213168025498,340.605240744342,114.67402443529417,-71.58693292005155
2027-12-01 00:00:00+00:00,1230.0913424943592,75.2188628379605,75.34492361520218,399759618.4801535,97.75331770337517,0.13079013881923157,341.58503047232796,113.01938822177503,-113.88463606019897
2027-12-02 00:00:00+00:00,1228.5992559000765,75.10232320994038,75.22479686563356,399759566.84461373,97.75331799797218,0.13232922402330802,342.56482034586605,111.36481344164687,-156.1813038543305
2027-12-03 00:00:00+00:00,1228.1929484315547,74.99176926922522,75.1107054878411,399759514.8809772,97.75331826824107,0.1337584650595622,343.5446103625718,-250.28971830015902,161.52302187731723
