date,beta_angle_sun,sma,inc,ecc,raan,aop,lv,ap_list,daily_flux
2025-10-01 00:00:00,22.373664178833067,607276.9994999962,97.7532,4.105269149552221e-09,344.92,-1.1674177108402494e-06,1.1674177105357832e-06,"JArray<double>[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",132.7
2025-10-31 00:00:00,21.973122468844075,606041.6479832828,97.75326286498779,0.10551396287983789,14.305556748682005,131.44789081205266,-29.146464383961447,"JArray<double>[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",134.7
2025-11-30 00:00:00,23.41266394180246,604696.2814514898,97.7533048722058,0.13665668761942168,43.71043631476413,-278.1850123149254,168.3201176039358,"JArray<double>[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",136.7
2025-12-30 00:00:00,26.67824157875075,603477.077476562,97.75336321049954,0.07242288338092345,73.13455778944534,33.03074190089289,49.290612710924066,"JArray<double>[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",138.1
2026-01-29 00:00:00,29.492145677065484,602129.5703670029,97.753452792631,0.042253417162734806,102.57782924073899,-199.94760322871858,157.9155246811782,"JArray<double>[19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0]",138.5
2026-02-28 00:00:00,29.249659034240707,600924.4909753166,97.75359767279754,0.12633562147200036,132.0402849583162,-247.19679585735884,125.16057439480676,"JArray<double>[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",137.4
2026-03-30 00:00:00,25.8394750009163,599389.555891688,97.75366854582741,0.11982182642708283,161.52281997785693,-295.29227978746763,139.87885354957677,"JArray<double>[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",135.3
2026-04-29 00:00:00,21.81062851249221,597724.7984564649,97.75366413776871,0.028490218698502042,191.0296025150417,23.644060594191636,-156.46951845446176,"JArray<double>[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",132.4
2026-05-29 00:00:00,19.815075471441858,596145.7411706578,97.75364690708327,0.08321873956107714,220.56068916779586,-218.7699460915137,165.18927834112463,"JArray<double>[26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0]",129.5
2026-06-28 00:00:00,20.563577260769687,595166.0775334677,97.753709228501,0.13612183637538874,250.11081086014238,94.35274817472579,-23.645108300482303,"JArray<double>[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",127.1
2026-07-28 00:00:00,22.62401590523603,594260.3490453819,97.75377831722872,0.09290983546477685,279.67463243684466,-312.4403405614123,178.943576571757,"JArray<double>[14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0]",125.6
2026-08-27 00:00:00,23.853127596102997,593392.969052637,97.75387496167546,0.01707091340493568,309.2521233525224,151.89221471623534,-99.17300709769889,"JArray<double>[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]",125.1
2026-09-26 00:00:00,23.425070187526295,592165.5848200144,97.75395770374014,0.11161867511896793,338.845022816315,-237.1370927759209,151.21966158779566,"JArray<double>[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",125.7
2026-10-26 00:00:00,22.624990029445872,590672.0240125731,97.75399079762374,0.12726556983435927,8.458571575543596,-284.3860433237376,108.06947321479986,"JArray<double>[13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0]",126.7
2026-11-25 00:00:00,23.426006241121133,589277.3006335609,97.75400908843142,0.05398192054811741,38.094257575778414,32.250955951987486,112.02078061439865,"JArray<double>[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",127.9
2026-12-25 00:00:00,26.26029454907961,587996.9150386686,97.75407281296918,0.05777360049296141,67.75008918810862,147.00778079443748,3.874841271433903,"JArray<double>[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",128.4
2027-01-24 00:00:00,29.1579475731248,586640.6623356929,97.75417093906867,0.12659700966498302,97.42533052841956,-256.44688696206447,98.94981847488027,"JArray<double>[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]",127.9
2027-02-23 00:00:00,29.32545237471769,585594.1300394041,97.75431549780626,0.10487769582439734,127.11958694660412,57.93785738365448,-120.16323416116848,"JArray<double>[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",126.3
2027-03-25 00:00:00,26.10728634389568,584542.4104430741,97.75444075931976,0.012878343529853063,156.82933988688467,59.468459432862005,7.871700697822253,"JArray<double>[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",123.7
2027-04-24 00:00:00,21.767461691081728,583289.0164935365,97.7545154048979,0.09487530223592905,186.55678794818618,-229.51526857261072,106.73833431105967,"JArray<double>[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",120.4
2027-05-24 00:00:00,19.133835164353744,582072.5592395598,97.75455531529414,0.1287347892664015,216.30306236228316,85.84008956426122,5.3440473621841,"JArray<double>[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",117.2
2027-06-23 00:00:00,19.288455315769802,581148.6105697798,97.75459362966166,0.07199922458450968,246.0656379680981,44.04296566105327,-61.33441900407295,"JArray<double>[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",114.4
2027-07-23 00:00:00,21.061071759024973,580464.2487169551,97.75468024095687,0.03944226499298878,275.840494833747,-215.372365493536,117.03562296289529,"JArray<double>[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",112.5
