Observer: Puerto Williams, -54.94014, 292.40564
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 May 2026 22:35:22.286    27 May 2026 22:41:06.304      344.01756045    
28 May 2026 19:22:27.451    28 May 2026 19:28:40.339      372.88730806    
28 May 2026 21:02:32.492    28 May 2026 21:09:19.991      407.49852962    
28 May 2026 22:43:57.829    28 May 2026 22:48:27.391      269.56278206    
29 May 2026 17:51:40.479    29 May 2026 17:55:03.863      203.38487865    
29 May 2026 19:30:14.725    29 May 2026 19:36:55.714      400.98822119    
29 May 2026 21:10:43.545    29 May 2026 21:17:12.987      389.44219997    
29 May 2026 22:53:28.201    29 May 2026 22:54:47.855      79.654038884    
30 May 2026 17:58:41.745    30 May 2026 18:03:55.776      314.03108906    
30 May 2026 19:38:11.202    30 May 2026 19:45:03.826      412.62468304    
30 May 2026 21:19:02.609    30 May 2026 21:24:54.948      352.33923504    


Number of events : 96
