Observer: Puerto Montt, -41.45438, 287.05317
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
17 May 2026 21:12:56.928    17 May 2026 21:17:10.986      254.05839742    
17 May 2026 22:51:22.852    17 May 2026 23:00:01.704      518.85147435    
18 May 2026 00:32:40.426    18 May 2026 00:41:23.585      523.15894162    
18 May 2026 02:14:18.986    18 May 2026 02:23:00.833      521.84673257    
18 May 2026 03:55:41.681    18 May 2026 04:04:17.021      515.34000457    
18 May 2026 05:38:34.591    18 May 2026 05:42:40.058      245.46719195    
18 May 2026 21:19:42.339    18 May 2026 21:26:32.940      410.60094000    
18 May 2026 22:59:35.254    18 May 2026 23:08:25.426      530.17185275    
19 May 2026 00:41:10.053    19 May 2026 00:49:49.090      519.03719490    
19 May 2026 02:22:42.039    19 May 2026 02:31:28.787      526.74802551    
19 May 2026 04:04:11.186    19 May 2026 04:12:14.590      483.40436696    
19 May 2026 21:27:14.301    19 May 2026 21:35:17.446      483.14542368    
19 May 2026 23:07:57.236    19 May 2026 23:16:47.245      530.00849333    
20 May 2026 00:49:38.401    20 May 2026 00:58:17.076      518.67470724    
20 May 2026 02:31:03.832    20 May 2026 02:39:51.500      527.66794797    
20 May 2026 04:12:53.601    20 May 2026 04:19:49.623      416.02275919    
20 May 2026 19:56:58.983    20 May 2026 20:00:44.895      225.91211483    
20 May 2026 21:35:09.644    20 May 2026 21:43:47.678      518.03401562    
20 May 2026 23:16:24.633    20 May 2026 23:25:09.777      525.14395524    
21 May 2026 00:58:04.034    21 May 2026 01:06:46.283      522.24850097    
21 May 2026 02:39:26.872    21 May 2026 02:48:04.878      518.00607465    
21 May 2026 04:22:08.998    21 May 2026 04:26:42.053      273.05456620    
21 May 2026 20:03:34.456    21 May 2026 20:10:14.895      400.43898420    
21 May 2026 21:43:20.230    21 May 2026 21:52:11.409      531.17922790    
21 May 2026 23:24:53.835    21 May 2026 23:33:34.556      520.72105282    
22 May 2026 01:06:26.935    22 May 2026 01:15:14.165      527.23020801    
22 May 2026 02:47:55.008    22 May 2026 02:56:04.065      489.05686378    
22 May 2026 20:11:02.516    22 May 2026 20:19:01.380      478.86395110    
22 May 2026 21:51:40.900    22 May 2026 22:00:32.868      531.96865042    
22 May 2026 23:33:22.015    22 May 2026 23:42:01.864      519.84912157    
23 May 2026 01:14:48.351    23 May 2026 01:23:37.253      528.90183443    
23 May 2026 02:56:34.888    23 May 2026 03:03:41.918      427.02986354    
23 May 2026 18:41:02.911    23 May 2026 18:44:14.450      191.53846018    
23 May 2026 20:18:55.295    23 May 2026 20:27:32.301      517.00532004    
23 May 2026 22:00:07.451    23 May 2026 22:08:54.814      527.36261117    
23 May 2026 23:41:47.593    23 May 2026 23:50:30.619      523.02603334    
24 May 2026 01:23:10.671    24 May 2026 01:31:51.534      520.86247449    
24 May 2026 03:05:43.532    24 May 2026 03:10:41.402      297.87012324    
24 May 2026 18:47:25.917    24 May 2026 18:53:55.071      389.15378717    
24 May 2026 20:27:04.018    24 May 2026 20:35:56.121      532.10374637    
24 May 2026 22:08:36.211    24 May 2026 22:17:18.903      522.69165450    
24 May 2026 23:50:10.389    24 May 2026 23:58:58.416      528.02730657    
25 May 2026 01:31:37.545    25 May 2026 01:39:52.294      494.74867999    
25 May 2026 18:54:49.857    25 May 2026 19:02:43.857      474.00012338    
25 May 2026 20:35:23.368    25 May 2026 20:44:17.313      533.94516228    
25 May 2026 22:17:04.253    25 May 2026 22:25:45.577      521.32402430    
25 May 2026 23:58:31.519    26 May 2026 00:07:21.886      530.36697905    
26 May 2026 01:40:15.116    26 May 2026 01:47:32.854      437.73746017    
26 May 2026 17:25:11.234    26 May 2026 17:27:37.404      146.16993866    
26 May 2026 19:02:40.019    26 May 2026 19:11:15.630      515.61067959    
26 May 2026 20:43:49.078    26 May 2026 20:52:38.755      529.67753147    
26 May 2026 22:25:29.832    26 May 2026 22:34:13.911      524.07898289    
27 May 2026 00:06:53.225    27 May 2026 00:15:37.071      523.84532079    
27 May 2026 01:49:17.998    27 May 2026 01:54:38.522      320.52423492    
27 May 2026 17:31:17.036    27 May 2026 17:37:33.490      376.45399875    
27 May 2026 19:10:46.855    27 May 2026 19:19:39.648      532.79359691    
27 May 2026 20:52:17.402    27 May 2026 21:01:02.214      524.81163929    
27 May 2026 22:33:52.591    27 May 2026 22:42:41.631      529.04038068    
28 May 2026 00:15:18.961    28 May 2026 00:23:39.374      500.41324014    
28 May 2026 17:38:36.566    28 May 2026 17:46:24.939      468.37252710    
28 May 2026 19:19:04.857    28 May 2026 19:28:00.644      535.78720243    
28 May 2026 21:00:45.311    28 May 2026 21:09:28.278      522.96686674    
28 May 2026 22:42:13.496    28 May 2026 22:51:05.461      531.96563388    
29 May 2026 00:23:54.412    29 May 2026 00:31:22.510      448.09826855    
29 May 2026 16:09:33.791    29 May 2026 16:10:44.160      70.368710929    
29 May 2026 17:46:24.007    29 May 2026 17:54:57.699      513.69235050    
29 May 2026 19:27:29.689    29 May 2026 19:36:21.627      531.93814993    
29 May 2026 21:09:10.903    29 May 2026 21:17:56.182      525.27907823    
29 May 2026 22:50:34.655    29 May 2026 22:59:21.512      526.85731411    
30 May 2026 00:32:52.281    30 May 2026 00:38:33.650      341.36869916    
30 May 2026 16:15:08.068    30 May 2026 16:21:10.077      362.00811239    
30 May 2026 17:54:28.895    30 May 2026 18:03:21.995      533.09930116    
30 May 2026 19:35:57.548    30 May 2026 19:44:44.481      526.93321675    
30 May 2026 21:17:33.651    30 May 2026 21:26:23.798      530.14692297    
30 May 2026 22:58:59.338    30 May 2026 23:07:25.295      505.95685320    


Number of events : 160

